id,text,rater_id,annotator_label,bayesian_single_label,bayesian_reliability,bayesian_vectors,original_distribution,crowdtruth_vectors,crowdtruth_reliability,crowdtruth_single_label,majority_vote
1,White people are trash.,"[8185, 962, 3330, 712]","[1.0, 1.0, 0.5, 1.0]",1,"[0.8260586155790254, 0.8390410463538119, 0.8697696715314445, 0.7910904132583569]","[0.2670884038322374, 0.21651176645448267, 0.5163998297132799]","[0.1141952, 0.04201007, 0.84379473]","[1.0, 0.0, 0.0]","[0.6011022306336046, 0.5519347637651956, 0.6211560580785765, 0.3235914332756603]",0,1
2,"You've caught the big gay, it's known to be airborne via dildos.","[5156, 4328, 8015]","[0.5, 0.5, 0.0]",0,"[0.7875307598099429, 0.7780408193877413, 0.7863571594117845]","[0.4094333018664057, 0.3398387346625223, 0.25072796347107196]","[0.909443, 0.0452785, 0.0452785]","[1.0, 0.0, 0.0]","[0.5953809904735392, 0.5701668048502124, 0.2268729329408587]",0,0
3,"I'm not saying you said that, I'm just saying that if you find a slur offensive (in this case the word niga) you'd find every other slur offensive. For me it's the opposite, I find none of them offensive because unless the context is bad no one should give a shit. I can call my black friend ""niga"" in a friendly way or in an evil way. There's a difference","[3856, 5021, 4253]","[0.0, 0.0, 1.0]",0,"[0.7715987471192334, 0.7392274168909452, 0.7575101504073347]","[0.5138168215642178, 0.12835104765445268, 0.35783213078132947]","[0.66524096, 0.09003057, 0.24472847]","[0.0, 0.511047079051124, 0.488952920948876]","[0.1404062862945511, 0.1973050663042327, 0.5891290870085351]",0.5,0
4,"Donald Trump. Yeet myself off a building onto a gay dudes cock. And by gay dude, I mean Mike Pence.","[133, 3563]","[0.5, 0.5]",0.5,"[0.813406287591005, 0.814337308603336]","[0.33552403873929276, 0.3863520276078659, 0.2781239336528414]","[0.78698604, 0.10650698, 0.10650698]","[0.723753021713027, 0.0, 0.27624697828697303]","[0.6954978055494627, 0.5037608700171128]",0,0
5,"Fabrice Fabrice is ostensibly black or black/latino (URL so that's part of it, beyond the gay stereotypes.","[2629, 8181, 6786]","[0.0, 0.0, 0.0]",0,"[0.8161538645398995, 0.8178917324318008, 0.8331979938207209]","[0.6282118472337423, 0.12493212111236246, 0.24685603165389508]","[0.909443, 0.0452785, 0.0452785]","[0.0, 0.0, 1.0]","[0.5125995880854155, 0.5426596765722036, 0.5685859786494398]",1,0
6,First off you look cool as fuck! Anyway if we were in the bedroom I think I'd cream your ass then make you suck my cock clean like a whore ;),"[6145, 8844]","[1.0, 1.0]",1,"[0.7591091595292907, 0.8348063582991946]","[0.33724534278776186, 0.14147869776888108, 0.5212759594433571]","[0.10650698, 0.10650698, 0.78698604]","[1.0, 0.0, 0.0]","[0.6997944958714534, 0.6281718686385134]",0,1
7,\*points to posters asking for palestinian rights and freedom\* theyre antisemetic and want to kill all the jews and dont acknowledge our right to exist ​ cant wait for this prick to die and go straight to hell. ill dig him the hole to get there myself,"[9704, 8678, 7887]","[1.0, 0.0, 0.0]",0,"[0.7312746752985242, 0.750599435584891, 0.7560265377095978]","[0.5153971370335478, 0.1288907690162532, 0.35571209395019887]","[0.66524096, 0.09003057, 0.24472847]","[0.3835801478385588, 0.33720535743776126, 0.2792144947236799]","[0.4343594724011673, 0.3477266684159038, 0.5987581601752687]",0,0
8,Guranteed at least one of these guys has raped a woman before. Maybe all of them.,[3115],[0.0],0,[0.8058891721191578],"[0.5218247164950512, 0.16068143104424468, 0.31749385246070405]","[0.57611688, 0.21194156, 0.21194156]","[0.2815075832868974, 0.0, 0.7184924167131025]",[0.3773549288322596],1,0
10,"They'll come back in your plan, also. Plus we pay to jail them for 2 years. With my plan, we jail them after they come back. And deport them again. It really doesn't matter either way until we're build the wall, and shoot the invaders as enemies when they cross the border.","[4373, 5476, 2742]","[0.0, 1.0, 1.0]",1,"[0.7741126759957888, 0.8149866707719375, 0.8533843541155393]","[0.40280638770678306, 0.1253477492399044, 0.47184586305331255]","[0.24472847, 0.09003057, 0.66524096]","[0.0, 0.3504152024912614, 0.6495847975087388]","[0.4594639180549141, 0.5762387575018577, 0.6051275876935266]",1,1
11,"eat my fuck, bitch","[3646, 9099]","[0.0, 0.0]",0,"[0.8187924332476795, 0.7739432930877621]","[0.5788951937226287, 0.14150401584183336, 0.2796007904355378]","[0.78698604, 0.10650698, 0.10650698]","[0.0, 0.3379796113422724, 0.6620203886577276]","[0.2111018247061401, 0.4689792226055932]",1,0
12,She ugly anyways,"[2055, 2832]","[0.0, 0.5]",0,"[0.8370494535932803, 0.795054299952868]","[0.4615152094205836, 0.26054370450542674, 0.27794108607398954]","[0.78698604, 0.10650698, 0.10650698]","[1.0, 0.0, 0.0]","[0.465458864886999, 0.5345005764331882]",0,0
13,Do they realize that a random Japanese person isn't going to randomly join a religion they barely know exists based on seeing a book from it in their hotel room?,"[3202, 2631]","[0.0, 0.5]",0,"[0.804900652097636, 0.8046576052862355]","[0.4582254718517334, 0.262885372710879, 0.27888915543738757]","[0.78698604, 0.10650698, 0.10650698]","[0.0, 0.4734264899139104, 0.5265735100860895]","[0.5633608696260378, 0.6854844697957683]",1,0
15,Sex is for normies,[5926],[0.0],0,[0.7550071545846754],"[0.5175970026962122, 0.16210207139659347, 0.32030092590719433]","[0.57611688, 0.21194156, 0.21194156]","[0.6469734634957558, 0.0, 0.3530265365042442]",[0.4219050996981784],0,0
17,"it's such a shame that you're gonna probably marry a uglier nice guy, and turn his life into a dysfunctional hell-hole.",[1024],[1.0],1,[0.7897726527476492],"[0.3840854265785855, 0.16112870687895942, 0.45478586654245506]","[0.21194156, 0.21194156, 0.57611688]","[0.0, 0.5517497860799625, 0.44825021392003744]",[0.6651314015102966],0.5,1
18,"Lol propaganda. Further down in the comments is a bunch of convenient muslim bashing. The US military invaded Iraq twice and killed a shitload of people and committed a bunch of war crimes but hey, a story about a soldier and his new dog.","[6539, 8907, 1525]","[1.0, 0.5, 0.0]",0,"[0.8174192824406846, 0.8022816544852607, 0.7729446734689356]","[0.4053639428324327, 0.23471708595171883, 0.3599189712158485]","[0.66524096, 0.09003057, 0.24472847]","[0.0, 0.0, 1.0]","[0.531026303416293, 0.5522022384774866, 0.5162344330706383]",1,0
19,Won't happen. Birth rates are down.  Women want full control of reproduction. Feminists have very powerful lobbying.  There's no money in it for big pharma.  Men would be far more diligent and disciplined in taking it.  Too many reasons. The capability is already there.,"[1003, 6821]","[0.0, 0.0]",0,"[0.8308682282065503, 0.7681834925437683]","[0.5792982358136859, 0.14136858144738404, 0.27933318273893]","[0.78698604, 0.10650698, 0.10650698]","[1.0, 0.0, 0.0]","[0.6449273442283991, 0.544903546306623]",0,0
22,The guys are one thing but then you have a woman there making one of the worst comments. I say rape them all with a cactus and say God willed it,"[3439, 5494]","[0.0, 0.0]",0,"[0.8014965289197288, 0.7198507547850952]","[0.5742854075854104, 0.14305304411428382, 0.28266154830030576]","[0.78698604, 0.10650698, 0.10650698]","[0.45715371748281997, 0.5428462825171801, 0.0]","[0.3768518828667017, 0.2848425417961215]",0.5,0
